filename,num_cycles_op,avg_v_min_target_V,avg_v_max_target_V,avg_age_temp,avg_age_chg_rate,avg_age_dischg_rate,SOC Window Min,SOC Window Max
cell_eocv2_P040_1_S06_C01.csv,468,3.23213955365622,4.089894396961063,10.0,1.6700000000000002,1.0,10,90
cell_eocv2_P064_3_S19_C01.csv,768,3.2385303512982757,4.0908412830023995,40.0,1.67,1.0,10,90
cell_eocv2_P061_1_S16_C09.csv,740,3.223237887725974,4.088718953377735,40.0,0.33,0.33,10,90
cell_eocv2_P028_2_S03_C01.csv,122,3.223006447963801,4.088874208144795,0.0,1.6700000000000002,1.0,10,90
cell_eocv2_P054_2_S17_C06.csv,502,2.517544959312839,4.19144602169982,40.0,0.33,1.0,0,100
cell_eocv2_P026_1_S01_C07.csv,544,3.229353872832371,4.089616907514451,0.0,0.32999999999999996,1.0,10,90
cell_eocv2_P036_1_S05_C09.csv,77,3.204253720930233,4.181446511627908,10.0,1.6699999999999997,1.0,10,100
cell_eocv2_P047_1_S13_C04.csv,1372,3.2343921095008046,4.1941525649873475,25.0,1.0,1.0,10,100
cell_eocv2_P043_2_S12_C04.csv,205,2.518900553250346,4.190999377593362,25.0,1.0,1.0,0,100
cell_eocv2_P038_1_S06_C07.csv,833,3.2296968484473965,4.089613981152479,10.0,0.33,1.0,10,90
cell_eocv2_P029_2_S08_C07.csv,172,2.5263874759152216,4.187533256262044,10.0,0.33000000000000007,0.33000000000000007,0,100
cell_eocv2_P052_3_S13_C01.csv,560,3.237290698602794,4.090966067864271,25.0,1.6699999999999997,1.0,10,90
cell_eocv2_P027_3_S03_C05.csv,347,3.228598020395921,4.089837552489501,0.0,1.0,1.0,10,90
cell_eocv2_P064_2_S18_C01.csv,1020,3.2396446322623986,4.090850542930706,40.0,1.6700000000000004,1.0,10,90
cell_eocv2_P056_2_S17_C00.csv,481,2.5136687687687687,4.1939260060060075,40.0,1.6700000000000002,1.0,0,100
cell_eocv2_P041_1_S11_C08.csv,338,2.5225524312896406,4.1887188395583745,25.0,0.32999999999999996,0.32999999999999996,0,100
cell_eocv2_P054_1_S16_C06.csv,504,2.5192407993338883,4.190730835414933,40.0,0.33,1.0,0,100
cell_eocv2_P060_2_S16_C01.csv,671,3.234764335664336,4.194004195804197,40.0,1.6700000000000002,1.0,10,100
cell_eocv2_P023_3_S05_C03.csv,93,3.207798929336189,4.182916488222699,0.0,1.0,1.0,10,100
cell_eocv2_P058_3_S19_C06.csv,944,3.2273296,4.191783822222223,40.0,0.33,1.0,10,100
cell_eocv2_P060_3_S19_C00.csv,1044,3.2369286143572626,4.195370684474125,40.0,1.67,1.0,10,100
cell_eocv2_P042_1_S11_C06.csv,232,2.515331920731707,4.192327027439026,25.0,0.32999999999999996,1.0,0,100
cell_eocv2_P047_3_S15_C01.csv,1377,3.2346542891421715,4.194072145570886,25.0,1.0,1.0,10,100
cell_eocv2_P055_1_S15_C05.csv,454,2.5139212213740456,4.193094961832061,40.0,1.0,1.0,0,100
cell_eocv2_P046_1_S12_C06.csv,1486,3.2275949403341286,4.191577883850438,25.0,0.33,1.0,10,100
cell_eocv2_P045_3_S14_C08.csv,1034,3.2185461297539146,4.1877296196868015,25.0,0.33,0.33,10,100
cell_eocv2_P055_2_S16_C04.csv,462,2.5126603459972863,4.194158344640435,40.0,1.0,1.0,0,100
cell_eocv2_P062_1_S16_C07.csv,737,3.231214950078823,4.089803652128218,40.0,0.33,1.0,10,90
cell_eocv2_P027_1_S01_C05.csv,336,3.229421045296167,4.089969337979094,0.0,1.0,1.0,10,90
cell_eocv2_P019_1_S01_C04.csv,85,2.5340325062034736,4.182798014888338,0.0,1.0,1.0,0,100
cell_eocv2_P063_1_S16_C05.csv,1036,3.2387895919752627,4.0907390753450485,40.0,1.0,1.0,10,90
cell_eocv2_P048_1_S10_C06.csv,420,3.2287791005291,4.191081834215167,25.0,1.6700000000000002,1.0,10,100
cell_eocv2_P053_2_S16_C08.csv,425,2.525616548375046,4.187369406051551,40.0,0.33,0.33,0,100
cell_eocv2_P034_1_S07_C06.csv,592,3.226296121883657,4.191216973054648,10.0,0.33,1.0,10,100
cell_eocv2_P032_3_S08_C00.csv,59,2.543402215189873,4.178062025316456,10.0,1.6699999999999997,1.0,0,100
cell_eocv2_P059_3_S19_C04.csv,900,3.2348929186961404,4.194805245410267,40.0,1.0,1.0,10,100
cell_eocv2_P044_2_S12_C00.csv,185,2.5182868,4.189016800000001,25.0,1.6700000000000002,1.0,0,100
cell_eocv2_P056_3_S18_C00.csv,497,2.512427272727273,4.194901147396293,40.0,1.6700000000000002,1.0,0,100
cell_eocv2_P031_3_S09_C03.csv,130,2.528632776617954,4.185527348643008,10.0,1.0,1.0,0,100
